ID,name,coord,coord_up,coord_down,dist_up,dist_down
AS 69,Burgau,"[48.41285, 10.4366]","[48.412583593503996, 10.434699552669077]","[48.413063837527076, 10.43929773367299]",-11843.258769169077,
AS 70,Zusmarshausen,"[48.41, 10.59717]","[48.409861255302694, 10.595931520379006]","[48.41013093158816, 10.597929323437466]",1433.1006527014924,74226.47096402996
AS 71a,Adelsried,"[48.417, 10.72184]","[48.41687447317483, 10.721312289091346]","[48.41709181141857, 10.722500076758413]",10835.144165108339,64755.45941398708
AS 71b,Neusäß,"[48.41723, 10.83731]","[48.417179039129785, 10.836058919133345]","[48.41738788028743, 10.837107696698311]",19345.53244709277,56255.15741824792
AS 72,Kreuz Augsburg West,"[48.41465, 10.87165]","[48.414763411971926, 10.864951498869072]","[48.41461556554195, 10.878866314158396]",21495.100925838862,53153.834904123774
AS 73,Augsburg Ost,"[48.40986, 10.92021]","[48.410740952344064, 10.91391227783138]","[48.40889229304123, 10.926903545046596]",25152.381675013003,49539.67286466109
AS 74a,Friedberg,"[48.40454, 10.95238]","[48.40453883630113, 10.951346147552963]","[48.404502031903895, 10.953523815060995]",28001.093011832145,47514.14587514352
AS 74b,Dasing,"[48.39336, 11.06657]","[48.39256220138096, 11.067762474319794]","[48.393793640108974, 11.065996251613223]",36821.323436154686,39032.18561265583
AS 75,Adelzhausen,"[48.35209, 11.13426]","[48.350157450298916, 11.13613233549958]","[48.35083989523587, 11.13587455554466]",43860.3863750632,31873.911712346064
AS 76,Odelzhausen,"[48.30878, 11.20594]","[48.30962681104632, 11.204408190314677]","[48.30796975069872, 11.207412047727908]",50681.98363419428,24697.14080488506
AS 77,Sulzemoos,"[48.2808, 11.26999]","[48.279503971396984, 11.27233491307027]","[48.28154026236177, 11.268778346752253]",56778.337637904784,19236.544186720013
AS 78,Dachau/Füstenfeldbruck,"[48.23339, 11.34849]","[48.23638267038759, 11.342899002222627]","[48.23400745549067, 11.347771009922837]",63946.62317488553,11275.056147896543
AS 79,Dreieck München,"[48.20774, 11.39199]","[48.21015496157735, 11.387529918279794]","[48.207769659945974, 11.392298988301357]",68357.13917400067,6870.9102568292265
AS 80,München Langwied,"[48.1954, 11.41112]","[48.195690779082504, 11.41035980864779]","[48.19606995155409, 11.410437968153259]",70693.43754537166,4998.975551151923
AS 81,Kreuz München West,"[48.18128, 11.43264]","[48.182521912960844, 11.430314727169304]","[48.17992527338592, 11.43504032292742]",72775.45922736732,2439.0524180032594
AS 82,München Obermenzing,"[48.16698436731309, 11.454057501367094]","[48.16674572114822, 11.45378123415353]","[48.16718033520537, 11.454464287280349]",75249.85162016985,414.9444119489274
